lag	message	stream_pos	ninemer	internal_pattern	register	context
28	East1	230056	änikatsoi	..A.....A	verse	unoni kotihin. "niinpä toivoin tuon ikäni, katsoin kaiken päiväkauen; pääni katsoin kallellehen, sykeröni syrjällehen,
28	East1	257298	lituuitte	.ABCCABB.	verse	, laski kuolan lainehille. tuota tuuli tuuitteli, ve'en henki heilutteli, tuuitteli vuotta kuusi, senki seitsemän kese
28	East1	524753	lemminkäi	..AAB...B	verse	suuttunut lähtee tuonelan joelle siellä lemminkäistä uottava. itse lieto lemminkäinen, itse kaunis kaukomieli,
30	West1	102200	potkaisih	.....A.A.	verse	täntähän!" kiinnistihe, jännistihe, potkaisihe, ponnistihe. ensi kerran potkaisihe silmän siintämättömähän, kerran t
30	West1	190459	iksimeren	A..A.B.B.	verse	isi meret mesiksi, meren hiekat hernehiksi, meren mullat maltahiksi, suoloiksi meren someret, lehot laajat leipämaiksi,
30	West1	271947	ataksensa	A.A.B..BA	verse	näköinen, kärestäisi keihä'änsä surmataksensa sutoset, metsän karhut kaataksensa." silloin lieto lemminkäinen sanan
30	West1	305285	mahanmait	AB.B.AB..	verse	aitojoet juoksemahan, maitopurot purkemahan, maitokosket kuohumahan, puhumahan maitoputket, maitohormit huokumahan, jo
30	West1	470446	esenkanka	A.ABCDBCD	prose	issa olen kirjottanut _venehesen, tarpehesen, kankahasen_ (eli _veneesen, tarpeesen, kankaasen_) j.n.e. joita muut kirjottanevat
30	West1	470568	enkankaas	.ABCABCC.	prose	ankahaseen_, (eli _veneesehen, tarpeesehen, kankaasehen; veneeseen, tarpeeseen, kankaaseen_). näitä sanoja toisten samanlaatui
30	West1	471478	eikertaak	A.BA..CCB	prose	tavoin. toiset sanovat ja kirjottavat: ei kertaa_kaan_, toiset: ei kertoa_kana_ ei kertaa_kahan_, ei kertoa_kan_, ei kertoa_na'_.
30	West1	532647	npotkasev	.........	verse	ruskian reposen. siitä kerran potkasevi silmän sintämättömähän, 90. potkasevi kerran toisen korvan kuulem
30	West1	533350	nhiljalle	...A..AA.	verse	tuolla lausehella: "joko hiihan hiljalleni, verkkahalleni vetelen; 125. hiljallehen huono käypi, sauan voimat
30	West1	537836	jankaiken	.ABCA.C.B	verse	tuhat muuta käskyläistä, karjan kaiken kaitsiata, 355. viitsiätä viljan kaiken. mielikki metsän miniä,
35	East2	70990	seppoilma	..AA.....	verse	nen itse pistihe pajahan. siell' on seppo ilmarinen: takoa taputtelevi. sanoi seppo ilmarinen: "oi sie vanha väinämöinen! m
35	East2	190346	luojalaul	AB..CACBA	verse	nä saata, en kuhunkana kykene. oisi luoja laulamassa, suin sulin sanelemassa! luoja laulun lauleleisi, lauleleisi, taiteleisi
35	East2	193561	yöksiläht	.........	verse	niinkö tiesit jotta luulit, luulit yöksi lähteväsi, päivällä paloavasi? etpä yöksi lähtenynnä, etkä yöksi, et kaheksi: jop
35	East2	207007	kivitupah	.A.A.....	verse	ehet, ota kuivehet kiveltä, kiirehi kivitupahan! sitte sinne saatuasi, tultua kivitupahan elä kuku kulkullasi, kalju kaula
35	East2	232880	atäysines	....A...A	verse	morsiamen vuotannassa. "terve nyt, piha täysinesi, ulkoinen urohinesi, terve, vaja täysinesi, vaja vierahaisinesi, terve, sint
