target_len	tier	candidate	source
20	1	youthinkyouhaveworld	voice-exact
20	1	whyareyoucreatedthis	voice-exact
20	1	weproveyouyourwisdom	voice-exact
20	1	wereadingyouyoursoul	voice-exact
20	1	whyareyouworshipthis	voice-exact
20	1	thewisdomwillcomeyou	voice-exact
20	1	wefindyoutothinkhere	voice-exact
20	1	wecreatedyouyoursoul	voice-exact
20	1	wethinkyoutogainhere	voice-exact
20	1	wefindyoutoprovehere	voice-exact
20	1	theanswerwillfindyou	voice-exact
20	1	weworshipyouyoursoul	voice-exact
20	1	weknowyoutoprovehere	voice-exact
20	1	weproveyoutocomehere	voice-exact
20	1	weproveyouyourworlds	voice-exact
20	1	theworldswillknowyou	voice-exact
20	1	wemadeyouyouranswers	voice-exact
20	1	wemadeyoutoprovehere	voice-exact
20	1	wethinkyouyouranswer	voice-exact
20	1	wecomeyoutothinkhere	voice-exact
20	1	theworldswillgainyou	voice-exact
20	1	weproveyoutoknowhere	voice-exact
20	1	wecomeyouyouranswers	voice-exact
20	1	theworldswillfindyou	voice-exact
20	1	weproveyoutohavehere	voice-exact
20	1	theworldswillcomeyou	voice-exact
20	1	wehaveyoutothinkhere	voice-exact
20	1	weproveyouyouranswer	voice-exact
20	1	wethinkyouyourwisdom	voice-exact
20	1	thewisdomwillknowyou	voice-exact
20	1	theanswerwillmadeyou	voice-exact
20	1	toprovetrueknowledge	voice-exact
20	1	wegaveyouyouranswers	voice-exact
20	1	theanswerwillgainyou	voice-exact
20	1	weproveyoutofindhere	voice-exact
20	1	wecomeyoutoprovehere	voice-exact
20	1	weallowedyouyoursoul	voice-exact
20	1	thesoulwillwantedyou	voice-exact
20	1	wewantedyouyourworld	voice-exact
20	1	whyareyousatisfythis	voice-exact
20	1	butitisnothereseeker	voice-exact
20	1	wethinkyoutocomehere	voice-exact
20	1	butitisnothereknower	voice-exact
20	1	theworldswillmadeyou	voice-exact
20	1	thewisdomwillgaveyou	voice-exact
20	1	thewisdomwillgainyou	voice-exact
20	1	thewisdomwillfindyou	voice-exact
20	1	weknowyoutothinkhere	voice-exact
20	1	weseekingyouyoursoul	voice-exact
20	1	thewisdomwillhaveyou	voice-exact
20	1	wegaveyoutothinkhere	voice-exact
20	1	weknowyouyouranswers	voice-exact
20	1	wethinkyouyourworlds	voice-exact
20	1	wegainyouyouranswers	voice-exact
20	1	whyareyouseekingthis	voice-exact
20	1	tothinktrueknowledge	voice-exact
20	1	theworldswillgaveyou	voice-exact
20	1	wegainyoutothinkhere	voice-exact
20	1	theanswerwillgaveyou	voice-exact
20	1	wegainyoutoprovehere	voice-exact
20	1	wehaveyouyouranswers	voice-exact
20	1	thewisdomwillmadeyou	voice-exact
20	1	theworldwillproveyou	voice-exact
20	1	weproveyoutogavehere	voice-exact
20	1	wesatisfyyouyoursoul	voice-exact
20	1	wethinkyoutogavehere	voice-exact
20	1	wegaveyoutoprovehere	voice-exact
20	1	whyareyouallowedthis	voice-exact
20	1	wethinkyoutomadehere	voice-exact
20	1	wethinkyoutofindhere	voice-exact
20	1	theanswerwillcomeyou	voice-exact
20	1	weproveyoutogainhere	voice-exact
20	1	theworldwillthinkyou	voice-exact
20	1	whyareyoureadingthis	voice-exact
20	1	wemadeyoutothinkhere	voice-exact
20	1	theanswerwillhaveyou	voice-exact
20	1	wethinkyoutohavehere	voice-exact
20	1	theanswerwillknowyou	voice-exact
20	1	wehaveyoutoprovehere	voice-exact
20	1	provethinetruewisdom	voice-exact
20	1	wefindyouyouranswers	voice-exact
20	1	theworldswillhaveyou	voice-exact
20	1	weproveyoutomadehere	voice-exact
20	1	wethinkyoutoknowhere	voice-exact
20	2	thegodofgodstheonetr	guide-window
20	2	godofgodstheonetrueg	guide-window
20	2	ifwevecreatedyourgod	guide-window
20	2	wevecreatedyourgodan	guide-window
20	2	vecreatedyourgodandy	guide-window
20	2	createdyourgodandyou	guide-window
20	2	yourgodandyourgodofg	guide-window
20	2	godandyourgodofgodsa	guide-window
20	2	andyourgodofgodsandy	guide-window
20	2	yourgodofgodsandyoua	guide-window
20	2	godofgodsandyouandyo	guide-window
20	2	ofgodsandyouandyourf	guide-window
20	2	godsandyouandyourfre	guide-window
20	2	andyouandyourfreewil	guide-window
20	2	youandyourfreewillan	guide-window
20	2	andyourfreewillandth	guide-window
20	2	yourfreewillandthisw	guide-window
20	2	freewillandthisworld	guide-window
20	2	willandthisworldanda	guide-window
20	2	andthisworldandallth	guide-window
20	2	thisworldandallthewo	guide-window
20	2	worldandalltheworlds	guide-window
20	2	weallowedyoutohavefr	guide-window
20	2	allowedyoutohavefree	guide-window
20	2	youthinkyouhavefreew	guide-window
20	2	thinkyouhavefreewill	guide-window
20	2	yourtruegodisthereal	guide-window
20	2	truegodistherealmons	guide-window
20	2	youcomehereseekingan	guide-window
20	2	comehereseekinganswe	guide-window
20	2	youthinkwehaveallthe	guide-window
20	2	thinkwehavealltheans	guide-window
20	2	wegaveyouyourfreewil	guide-window
20	2	andnotjustthisplacea	guide-window
20	2	notjustthisplaceallt	guide-window
20	2	justthisplaceallthep	guide-window
20	2	thisplacealltheplace	guide-window
20	2	placealltheplacesall	guide-window
20	2	alltheplacesallthedi	guide-window
20	2	theplacesallthedimen	guide-window
20	2	placesallthedimensio	guide-window
20	2	allthedimensionsallt	guide-window
20	2	thedimensionsallthef	guide-window
