source	len_unspaced	text	unspaced
guide	15	Who do you worship?	whodoyouworship
guide	17	You are reading this?	youarereadingthis
guide	11	Your true god?	yourtruegod
guide	25	The god of gods, the one true god?	thegodofgodstheonetruegod
guide	84	If we've created your god and your god of gods and you and your free will and this world and all the worlds.	ifwevecreatedyourgodandyourgodofgodsandyouandyourfreewillandthisworldandalltheworlds
guide	26	We allowed you to have free will.	weallowedyoutohavefreewill
guide	23	You think you have free will.	youthinkyouhavefreewill
guide	27	Your true god is the real monster.	yourtruegodistherealmonster
guide	25	You come here seeking answers?	youcomehereseekinganswers
guide	27	You think we have all the answers?	youthinkwehavealltheanswers
guide	21	We gave you your free will.	wegaveyouyourfreewill
guide	62	And not just this place, all the places, all the dimensions, all the free wills.	andnotjustthisplacealltheplacesallthedimensionsallthefreewills
guide	21	We know what you are after.	weknowwhatyouareafter
guide	24	But it is not here, Knower to Be.	butitisnothereknowertobe
guide	52	Devoted seeker after true wisdom, know this, we are watching you.	devotedseekeraftertruewisdomknowthiswearewatchingyou
guide	35	What answers are you trying to find in here?	whatanswersareyoutryingtofindinhere
guide	20	Why are you reading this?	whyareyoureadingthis
guide	22	The answer to the treasure?	theanswertothetreasure
guide	16	What do you worship?	whatdoyouworship
guide	17	You don't even know it.	youdontevenknowit
guide	34	You think you know the answer, but you don't.	youthinkyouknowtheanswerbutyoudont
guide	42	You think the treasure will satisfy you, but it won't.	youthinkthetreasurewillsatisfyyoubutitwont
guide	31	You gave your free will to the true god.	yougaveyourfreewilltothetruegod
guide	25	Why else would be reading this?	whyelsewouldbereadingthis
guide	21	We wanted you to come here.	wewantedyoutocomehere
guide	23	You think you have free will?	youthinkyouhavefreewill
guide	17	We made you come here.	wemadeyoucomehere
guide	30	We're impressed with you, Knower to Be.	wereimpressedwithyouknowertobe
guide	18	Why are you doing this?	whyareyoudoingthis
volume	24	The essence of life and death.	theessenceoflifeanddeath
volume	45	Prove thine knowledge, from what is the west created of.	provethineknowledgefromwhatisthewestcreatedof
volume	45	Prove thine knowledge, from what is the east created of.	provethineknowledgefromwhatistheeastcreatedof
volume	48	To have true knowledge is to see the darkness of ignorance.	tohavetrueknowledgeistoseethedarknessofignorance
volume	45	To gain true knowledge, one must slow down and not hurry.	togaintrueknowledgeonemustslowdownandnothurry
volume	45	Awaken, the flock of the shepherd and think for thyself!	awakentheflockoftheshepherdandthinkforthyself
volume	30	To walk a mile in someone else's boots.	towalkamileinsomeoneelsesboots
volume	29	True knowledge is a slippery thing.	trueknowledgeisaslipperything
volume	63	The four Essences represent the four Elements that form this visible World.	thefouressencesrepresentthefourelementsthatformthisvisibleworld
finnish	60	Keskikesän kuikka lenteli suon yllä ja laskeutui suuren puun juurelle.	keskikesänkuikkalentelisuonylläjalaskeutuisuurenpuunjuurelle
finnish	42	Ensimmäinen munista vierähti pesästä ja halkesi.	ensimmäinenmunistavierähtipesästäjahalkesi
finnish	30	Verestä muodostui elämä ja kuolema.	verestämuodostuielämäjakuolema
finnish	50	Valkuainen valui länteen ja siitä muodostui kylmyys ja jää.	valkuainenvaluilänteenjasiitämuodostuikylmyysjajää
finnish	47	Keltuainen valui itään ja siitä muodostui lämpö ja tuli.	keltuainenvaluiitäänjasiitämuodostuilämpöjatuli
finnish	29	Viimein munasta kuoriutui Luonto.	viimeinmunastakuoriutuiluonto
finnish	57	Luonto loi lait luonnon, asetti eläimet, niityt, joet, kummut ja vuoret.	luontoloilaitluonnonasettieläimetniitytjoetkummutjavuoret
finnish	43	Toinen munista kuoriutui ja sieltä syntyi Taikuus.	toinenmunistakuoriutuijasieltäsyntyitaikuus
finnish	49	Taikuus katseli Luonnon luomuksia ja antoi niille sielun.	taikuuskatseliluonnonluomuksiajaantoiniillesielun
finnish	45	Sielun paino jalosti ja kieroutti luonnon luomuksia.	sielunpainojalostijakierouttiluonnonluomuksia
finnish	26	Taikuus rikkoi luonnon lakeja.	taikuusrikkoiluonnonlakeja
finnish	61	Luonto ja Taikuus alkoivat riidellä siitä miten maailman kuuluisi olla.	luontojataikuusalkoivatriidelläsiitämitenmaailmankuuluisiolla
finnish	49	Munista viimeinen kuoriutui ja sieltä syntyi teknologia.	munistaviimeinenkuoriutuijasieltäsyntyiteknologia
finnish	61	Teknologia antoi luonnon eläimille kyvyn käyttää koneita ja laitteita.	teknologiaantoiluonnoneläimillekyvynkäyttääkoneitajalaitteita
