corpus	mode	pattern	constraints	kappa	windows	expected	observed_eq	obs_distinct	obs_strict	ratio	top_matches
english	direct	#1	5	0.06520	431549	0.5	1	0	0	1.966	squitetoogoodtolos×1
english	direct	#C0	6	0.06520	431543	0.0	0	0	0	0.000	
english	direct	#C1	6	0.06520	431541	0.0	0	0	0	0.000	
english	direct	#2-	3	0.06520	431542	119.6	115	84	0	0.961	lybalancedmindhewasitakei×1; ebohemiansoulremainedinou×1; natingfromweektoweekbetwe×1; erthenatthathouranddonott×1; remarkedwhatdoyouimaginet×1
english	direct	#2	5	0.06520	431537	0.5	0	0	0	0.000	
english	direct	#2+	7	0.06520	431534	0.0	0	0	0	0.000	
english	direct	#S	6	0.06520	431536	0.0	0	0	0	0.000	
english	direct	#F	5	0.06520	431548	0.5	0	0	0	0.000	
english	direct	#M	3	0.06520	431558	119.6	106	87	47	0.886	ckinhisch×7; thislittl×5; pinionupo×3; toogoodto×2; nvictiont×2
english	direct	#M-	2	0.06520	431559	1834.7	1876	1744	791	1.022	avebeena×21; tseemedt×20; thegreat×18; epassage×16; edthathe×14
english	direct	#3	3	0.06520	431555	119.6	98	79	5	0.819	ackinhischai×7; weshallseewh×6; ebetterablet×2; takethematte×2; thetimethatt×2
english	direct	#3+	4	0.06520	431552	7.8	6	4	0	0.769	timakeamistakei×1; hereourredheade×1; ethroughtherift×1; thehourthatheth×1; hemachineihadbe×1
english	direct	#4	2	0.06520	431553	1834.7	1212	1061	10	0.661	onetotheothero×5; somefewminutes×3; ntheverymornin×3; epresenceofthe×3; ofdrgrimesbyro×3
english	delta:1	#1	5	0.04176	431548	0.1	0	0	0	0.000	
english	delta:1	#C0	6	0.04176	431542	0.0	0	0	0	0.000	
english	delta:1	#C1	6	0.04176	431540	0.0	0	0	0	0.000	
english	delta:1	#2-	3	0.04176	431541	31.4	29	24	0	0.923	enbeforeiwasawarethatiwasa×1; oomillkemptandsidewhiskere×1; ntwentyminutesthiswasquite×1; swereinfrontofthedoorwheni×1; erstreetanditstillwantedte×1
english	delta:1	#2	5	0.04176	431536	0.1	0	0	0	0.000	
english	delta:1	#2+	7	0.04176	431533	0.0	0	0	0	0.000	
english	delta:1	#S	6	0.04176	431535	0.0	0	0	0	0.000	
english	delta:1	#F	5	0.04176	431547	0.1	0	0	0	0.000	
english	delta:1	#M	3	0.04176	431557	31.4	20	18	10	0.636	essedwitha×2; rongnature×2; veforirene×1; chwouldine×1; rinstincti×1
english	delta:1	#M-	2	0.04176	431558	752.7	648	629	331	0.861	thinginth×8; itwasquit×6; ithoutany×5; nthefront×4; thefirsth×4
english	delta:1	#3	3	0.04176	431554	31.4	39	33	7	1.241	teveryquarter×2; ihavechangedm×1; urmajestythen×1; penwhichentit×1; ongratulatedm×1
english	delta:1	#3+	4	0.04176	431551	1.3	2	1	0	1.523	unclesavethatiti×1; ndiamlivingwithm×1
english	delta:1	#4	2	0.04176	431552	752.7	705	675	18	0.937	lockholmeshadbe×3; ossibleformetos×2; ithinafewminute×2; dbeyondthesesig×1; llremembereddoo×1
english	sigma:1	#1	5	0.04512	431548	0.1	0	0	0	0.000	
english	sigma:1	#C0	6	0.04512	431542	0.0	0	0	0	0.000	
english	sigma:1	#C1	6	0.04512	431540	0.0	0	0	0	0.000	
english	sigma:1	#2-	3	0.04512	431541	39.6	35	32	0	0.883	owanicelittlebroughamandap×1; ynoteheaskedwithadeepharsh×1; swalkedintotheroomaccustom×1; gewhichyouhavegainedonever×1; thosewhomhehadsethimselfto×1
